,K_r,K_theta,sigma_r,sigma_t,lengths,angles
347,75.0,19.0,0.0605087559481613,0.026561677411284155,[2.       2.000005 2.       ... 2.12831  2.12877  2.12924 ],[180.    179.999 179.996 ... 164.626 164.652 164.677]
349,75.0,20.0,0.060627024605207566,0.028645847156456607,[2.       2.000005 2.       ... 2.13273  2.13306  2.13339 ],[180.    179.999 179.996 ... 163.673 163.741 163.808]
357,80.0,0.0,0.03171357466008514,0.18864148163144254,[2.       2.000005 2.       ... 2.1229   2.12312  2.12337 ],[180.    179.999 179.996 ... 130.14  130.097 130.053]
358,80.0,1.0,0.07000605779868484,0.14005987195112396,[2.       2.000005 2.       ... 2.2118   2.2095   2.20721 ],[180.    179.999 179.996 ... 133.882 133.985 134.089]
369,80.0,2.0,0.06417596758241514,0.10651489842411224,[2.       2.000005 2.       ... 2.24789  2.24809  2.24828 ],[180.    179.999 179.996 ... 130.83  130.871 130.915]
371,80.0,3.0,0.05219613849977436,0.09262315456022148,[2.       2.000005 2.       ... 1.957928 1.958454 1.959002],[180.    179.999 179.996 ... 174.193 174.168 174.14 ]
372,80.0,4.0,0.06015298190016242,0.09369111833285441,[2.       2.000005 2.       ... 2.004248 2.004429 2.004608],[180.    179.999 179.996 ... 131.718 131.786 131.857]
373,80.0,5.0,0.06117639144728625,0.0588548557487494,[2.       2.000005 2.       ... 2.09228  2.09351  2.09475 ],[180.    179.999 179.996 ... 165.036 165.012 164.988]
374,80.0,6.0,0.057245410553878724,0.04848034382980515,[2.       2.000005 2.       ... 2.093246 2.093976 2.094721],[180.    179.999 179.996 ... 153.962 154.037 154.113]
375,80.0,7.0,0.05342766959830746,0.047041128922041195,[2.       2.000005 2.       ... 2.19832  2.19856  2.19881 ],[180.    179.999 179.996 ... 149.501 149.493 149.485]
376,80.0,8.0,0.053603486156187395,0.0426316031129288,[2.       2.000005 2.       ... 2.17095  2.17095  2.17097 ],[180.    179.999 179.996 ... 155.986 156.043 156.1  ]
377,80.0,9.0,0.05423218858650169,0.04540650262291563,[2.       2.000005 2.       ... 2.14761  2.14781  2.148   ],[180.    179.999 179.996 ... 165.616 165.673 165.731]
359,80.0,10.0,0.05436251591451404,0.04698253699832858,[2.       2.000005 2.       ... 2.16476  2.16488  2.16501 ],[180.    179.999 179.996 ... 163.399 163.482 163.567]
360,80.0,11.0,0.054210318079820324,0.043769078364560184,[2.       2.000005 2.       ... 2.16519  2.16521  2.16525 ],[180.    179.999 179.996 ... 162.995 163.082 163.169]
361,80.0,12.0,0.05380326701740779,0.040057476058361415,[2.       2.000005 2.       ... 2.14403  2.14428  2.14454 ],[180.    179.999 179.996 ... 168.613 168.622 168.628]
362,80.0,13.0,0.05345986692013088,0.036405586776749446,[2.       2.000005 2.       ... 2.14954  2.15005  2.15058 ],[180.    179.999 179.996 ... 167.007 166.906 166.803]
363,80.0,14.0,0.053292017392451214,0.034851105563423974,[2.       2.000005 2.       ... 2.16571  2.16618  2.16665 ],[180.    179.999 179.996 ... 162.637 162.576 162.514]
364,80.0,15.0,0.052981792695087127,0.03441320494130085,[2.       2.000005 2.       ... 2.16968  2.16998  2.17028 ],[180.    179.999 179.996 ... 162.119 162.111 162.104]
365,80.0,16.0,0.052548622752337605,0.03225179151985949,[2.       2.000005 2.       ... 2.16855  2.16878  2.16899 ],[180.    179.999 179.996 ... 162.931 162.947 162.962]
366,80.0,17.0,0.05234895422256784,0.027249773540185842,[2.       2.000005 2.       ... 2.16772  2.16789  2.16807 ],[180.    179.999 179.996 ... 164.069 164.099 164.128]
367,80.0,18.0,0.052348863009015416,0.02501829808349256,[2.       2.000005 2.       ... 2.16312  2.16332  2.16352 ],[180.    179.999 179.996 ... 167.209 167.238 167.266]
368,80.0,19.0,0.05616070896880062,0.03757283271135647,[2.       2.000005 2.       ... 2.133087 2.13445  2.135828],[180.    179.999 179.996 ... 167.746 167.69  167.633]
370,80.0,20.0,0.05564458524199353,0.03878160105635513,[2.       2.000005 2.       ... 2.162096 2.163472 2.164847],[180.    179.999 179.996 ... 158.641 158.603 158.568]
378,85.0,0.0,0.032438395494630116,0.19039535907066382,[2.       2.000005 2.       ... 2.122409 2.122392 2.12239 ],[180.    179.999 179.996 ... 125.281 125.246 125.21 ]
379,85.0,1.0,0.07059541635705635,0.1383701680831126,[2.       2.000005 2.       ... 2.09457  2.09214  2.08973 ],[180.    179.999 179.996 ... 132.711 132.827 132.944]
390,85.0,2.0,0.06038998888876645,0.10291075100731738,[2.       2.000005 2.       ... 2.23837  2.23796  2.23754 ],[180.    179.999 179.996 ... 130.657 130.724 130.792]
392,85.0,3.0,0.050770719021514636,0.093785890579439,[2.       2.000005 2.       ... 1.967815 1.968547 1.969295],[180.    179.999 179.996 ... 177.368 177.284 177.198]
393,85.0,4.0,0.05920897444150841,0.07155078627086658,[2.       2.000005 2.       ... 2.098627 2.099655 2.100699],[180.    179.999 179.996 ... 157.97  157.931 157.891]
394,85.0,5.0,0.0511848806911304,0.05223119540385262,[2.       2.000005 2.       ... 2.078776 2.0796   2.080437],[180.    179.999 179.996 ... 165.636 165.59  165.543]
395,85.0,6.0,0.0506223079611903,0.03301248718531928,[2.       2.000005 2.       ... 2.079403 2.080163 2.080946],[180.    179.999 179.996 ... 162.888 162.846 162.802]
396,85.0,7.0,0.046466695597842084,0.0442609196921993,[2.       2.000005 2.       ... 2.19018  2.19021  2.19025 ],[180.    179.999 179.996 ... 152.429 152.427 152.425]
397,85.0,8.0,0.046434945266612626,0.03989280512636368,[2.       2.000005 2.       ... 2.16558  2.16546  2.16535 ],[180.    179.999 179.996 ... 158.676 158.729 158.782]
398,85.0,9.0,0.04704405413317177,0.042878115557996505,[2.       2.000005 2.       ... 2.15648  2.15653  2.15658 ],[180.    179.999 179.996 ... 165.762 165.813 165.864]
380,85.0,10.0,0.04747330878661911,0.04605658055213046,[2.       2.000005 2.       ... 2.17245  2.17233  2.17222 ],[180.    179.999 179.996 ... 163.774 163.859 163.945]
381,85.0,11.0,0.04728811117869435,0.043894256325368364,[2.       2.000005 2.       ... 2.15905  2.15884  2.15865 ],[180.    179.999 179.996 ... 164.487 164.559 164.629]
382,85.0,12.0,0.04663302643065735,0.039600656788642774,[2.       2.000005 2.       ... 2.13583  2.13592  2.13601 ],[180.    179.999 179.996 ... 168.754 168.725 168.693]
383,85.0,13.0,0.04617650348734172,0.03568695915392621,[2.       2.000005 2.       ... 2.14366  2.144    2.14435 ],[180.    179.999 179.996 ... 166.059 165.959 165.858]
384,85.0,14.0,0.04595683757653013,0.03451194889467122,[2.       2.000005 2.       ... 2.15961  2.15988  2.16016 ],[180.    179.999 179.996 ... 162.142 162.087 162.032]
385,85.0,15.0,0.045609558778267195,0.034332506294211515,[2.       2.000005 2.       ... 2.16186  2.16196  2.16206 ],[180.    179.999 179.996 ... 162.046 162.044 162.044]
386,85.0,16.0,0.04515442236239173,0.03224002612776291,[2.       2.000005 2.       ... 2.15954  2.15959  2.15963 ],[180.    179.999 179.996 ... 163.183 163.2   163.217]
387,85.0,17.0,0.0449442632454878,0.02714304250080089,[2.       2.000005 2.       ... 2.15997  2.15999  2.16002 ],[180.    179.999 179.996 ... 164.338 164.362 164.386]
