folder,seed,K_r_lmp,K_theta_lmp,k_phys,alpha_hat_dump,alpha_hat_temp,k_hat_dump,k_hat_temp,dump_bond_idx,N_frames
k_r2.2_k_theta1.0Seed54654659,54654659,2.2,1.0,4.4,9.950666001141535,9.876168091228577,19.90133200228307,19.752336182457153,0,8001
k_r2.2_k_theta1.0Seed54654661,54654661,2.2,1.0,4.4,9.396816984340244,9.390300512466613,18.79363396868049,18.780601024933226,0,8001
k_r2.2_k_theta1.0Seed54654685,54654685,2.2,1.0,4.4,9.827503385279208,9.55797881952748,19.655006770558415,19.11595763905496,1,8001
k_r2.2_k_theta10.0Seed54654651,54654651,2.2,10.0,4.4,9.498277970734943,9.289677616318649,18.996555941469886,18.579355232637297,1,8001
k_r2.2_k_theta10.0Seed54654653,54654653,2.2,10.0,4.4,9.261015420410706,9.068212090981092,18.52203084082141,18.136424181962184,1,8001
k_r2.2_k_theta10.0Seed54654659,54654659,2.2,10.0,4.4,9.779430951187265,9.649578670365647,19.55886190237453,19.299157340731295,0,8001
k_r2.2_k_theta10.0Seed54654661,54654661,2.2,10.0,4.4,9.69120965542608,9.533322992880903,19.38241931085216,19.066645985761806,1,8001
k_r2.2_k_theta10.0Seed54654685,54654685,2.2,10.0,4.4,9.731763962692368,9.712548791358806,19.463527925384735,19.425097582717612,1,8001
k_r2.2_k_theta13.0Seed54654651,54654651,2.2,13.0,4.4,9.409769389856786,9.361187376599416,18.81953877971357,18.72237475319883,0,8001
k_r2.2_k_theta13.0Seed54654653,54654653,2.2,13.0,4.4,9.322330049294553,9.170837561925126,18.644660098589107,18.34167512385025,0,8001
k_r2.2_k_theta13.0Seed54654659,54654659,2.2,13.0,4.4,9.914584041480039,9.829994396886693,19.829168082960077,19.659988793773387,1,8001
k_r2.2_k_theta13.0Seed54654661,54654661,2.2,13.0,4.4,9.729896088076357,9.757958445027436,19.459792176152714,19.51591689005487,1,8001
k_r2.2_k_theta13.0Seed54654685,54654685,2.2,13.0,4.4,9.637573060510153,9.539728160499902,19.275146121020306,19.079456320999803,1,8001
k_r2.2_k_theta4.0Seed54654651,54654651,2.2,4.0,4.4,9.21488165507167,8.876556250729031,18.42976331014334,17.753112501458062,1,8001
k_r2.2_k_theta4.0Seed54654653,54654653,2.2,4.0,4.4,9.456577609056703,9.461330556627713,18.913155218113406,18.922661113255426,1,8001
k_r2.2_k_theta4.0Seed54654659,54654659,2.2,4.0,4.4,9.942310973145235,9.950486211939374,19.88462194629047,19.90097242387875,0,8001
k_r2.2_k_theta4.0Seed54654661,54654661,2.2,4.0,4.4,9.678708108516165,9.545833410569646,19.35741621703233,19.09166682113929,1,8001
k_r2.2_k_theta4.0Seed54654685,54654685,2.2,4.0,4.4,9.791075472766009,9.60674721230965,19.582150945532018,19.2134944246193,0,8001
k_r2.2_k_theta7.0Seed54654651,54654651,2.2,7.0,4.4,9.351106630796972,9.11641568568721,18.702213261593943,18.23283137137442,1,8001
k_r2.2_k_theta7.0Seed54654653,54654653,2.2,7.0,4.4,9.030216056583827,8.949218783736471,18.060432113167654,17.898437567472943,0,8001
k_r2.2_k_theta7.0Seed54654659,54654659,2.2,7.0,4.4,9.874119079643561,9.869858515380502,19.748238159287123,19.739717030761003,0,8001
k_r2.2_k_theta7.0Seed54654661,54654661,2.2,7.0,4.4,9.59227581675229,9.498894095185543,19.18455163350458,18.997788190371086,1,8001
k_r2.2_k_theta7.0Seed54654685,54654685,2.2,7.0,4.4,9.722970431824898,9.716206941509714,19.445940863649795,19.43241388301943,1,8001
k_r3.2_k_theta1.0Seed54654651,54654651,3.2,1.0,6.4,9.395698581761547,9.25623279819007,18.791397163523094,18.51246559638014,1,8001
k_r3.2_k_theta1.0Seed54654653,54654653,3.2,1.0,6.4,9.552155998221597,9.391190471865519,19.104311996443194,18.782380943731038,1,8001
k_r3.2_k_theta1.0Seed54654659,54654659,3.2,1.0,6.4,9.849721569430505,9.626536025665747,19.69944313886101,19.253072051331493,0,8001
k_r3.2_k_theta1.0Seed54654661,54654661,3.2,1.0,6.4,9.193582554654151,9.260853035682072,18.387165109308302,18.521706071364143,1,8001
k_r3.2_k_theta1.0Seed54654685,54654685,3.2,1.0,6.4,9.821266733846015,9.59784536383821,19.64253346769203,19.19569072767642,1,8001
k_r3.2_k_theta10.0Seed54654651,54654651,3.2,10.0,6.4,9.262984571001288,9.126239480494283,18.525969142002577,18.252478960988565,1,8001
k_r3.2_k_theta10.0Seed54654653,54654653,3.2,10.0,6.4,9.10062225900903,8.875066866428163,18.20124451801806,17.750133732856327,1,8001
k_r3.2_k_theta10.0Seed54654659,54654659,3.2,10.0,6.4,9.820203592391596,9.769871483883932,19.640407184783193,19.539742967767864,0,8001
k_r3.2_k_theta10.0Seed54654661,54654661,3.2,10.0,6.4,9.808489223966335,9.637721534344456,19.61697844793267,19.27544306868891,1,8001
k_r3.2_k_theta10.0Seed54654685,54654685,3.2,10.0,6.4,9.688387682651795,9.713647385113468,19.37677536530359,19.427294770226936,1,8001
k_r3.2_k_theta13.0Seed54654651,54654651,3.2,13.0,6.4,9.67144818977484,9.22963899387959,19.34289637954968,18.45927798775918,1,8001
k_r3.2_k_theta13.0Seed54654653,54654653,3.2,13.0,6.4,8.822025316131867,8.645021243385457,17.644050632263735,17.290042486770915,0,8001
k_r3.2_k_theta13.0Seed54654659,54654659,3.2,13.0,6.4,9.744433846679438,9.649547903709971,19.488867693358877,19.299095807419942,1,8001
k_r3.2_k_theta13.0Seed54654661,54654661,3.2,13.0,6.4,9.63950728467154,9.605125021279918,19.27901456934308,19.210250042559835,0,8001
k_r3.2_k_theta13.0Seed54654685,54654685,3.2,13.0,6.4,9.702576397718403,9.711131590117951,19.405152795436805,19.422263180235902,1,8001
k_r3.2_k_theta4.0Seed54654651,54654651,3.2,4.0,6.4,9.599817053258759,9.215696203441686,19.199634106517518,18.431392406883372,1,8001
k_r3.2_k_theta4.0Seed54654653,54654653,3.2,4.0,6.4,9.53776678512595,9.456076004700517,19.0755335702519,18.912152009401034,1,8001
k_r3.2_k_theta4.0Seed54654659,54654659,3.2,4.0,6.4,9.768136177315734,9.664739590500252,19.536272354631468,19.329479181000504,1,8001
k_r3.2_k_theta4.0Seed54654661,54654661,3.2,4.0,6.4,9.982927208266444,9.659109707307405,19.96585441653289,19.31821941461481,1,8001
k_r3.2_k_theta4.0Seed54654685,54654685,3.2,4.0,6.4,9.901966144872336,9.85709817538655,19.803932289744672,19.7141963507731,0,8001
k_r3.2_k_theta7.0Seed54654651,54654651,3.2,7.0,6.4,9.291440604259934,9.01416326942661,18.58288120851987,18.02832653885322,1,8001
k_r3.2_k_theta7.0Seed54654653,54654653,3.2,7.0,6.4,9.10343167856955,9.030281971863383,18.2068633571391,18.060563943726766,0,8001
k_r3.2_k_theta7.0Seed54654659,54654659,3.2,7.0,6.4,10.097336726033873,9.960357860988642,20.194673452067747,19.920715721977285,0,8001
k_r3.2_k_theta7.0Seed54654661,54654661,3.2,7.0,6.4,9.45243984644378,9.38905081679653,18.90487969288756,18.77810163359306,1,8001
k_r3.2_k_theta7.0Seed54654685,54654685,3.2,7.0,6.4,9.751128900462914,9.67339445651586,19.50225780092583,19.34678891303172,1,8001
k_r4.2_k_theta1.0Seed54654651,54654651,4.2,1.0,8.4,9.460309074976154,9.185173689087936,18.920618149952308,18.37034737817587,1,8001
k_r4.2_k_theta1.0Seed54654653,54654653,4.2,1.0,8.4,9.439386746319032,9.05523047979216,18.878773492638064,18.11046095958432,1,8001
k_r4.2_k_theta1.0Seed54654659,54654659,4.2,1.0,8.4,9.762820747099086,9.648638380391724,19.525641494198172,19.297276760783447,0,8001
k_r4.2_k_theta1.0Seed54654661,54654661,4.2,1.0,8.4,9.811969868497469,9.64492941222164,19.623939736994938,19.28985882444328,0,8001
k_r4.2_k_theta1.0Seed54654685,54654685,4.2,1.0,8.4,9.805381891015944,9.677981291632193,19.61076378203189,19.355962583264386,1,8001
k_r4.2_k_theta10.0Seed54654651,54654651,4.2,10.0,8.4,9.359222936987535,8.939904646043985,18.71844587397507,17.87980929208797,1,8001
k_r4.2_k_theta10.0Seed54654653,54654653,4.2,10.0,8.4,9.283979389538764,8.852040039481869,18.56795877907753,17.704080078963738,1,8001
k_r4.2_k_theta10.0Seed54654659,54654659,4.2,10.0,8.4,9.732250837132115,9.667508759115785,19.46450167426423,19.33501751823157,0,8001
k_r4.2_k_theta10.0Seed54654661,54654661,4.2,10.0,8.4,9.759552430499431,9.642126163990477,19.519104860998862,19.284252327980955,1,8001
k_r4.2_k_theta10.0Seed54654685,54654685,4.2,10.0,8.4,9.541657518913352,9.5355102296793,19.083315037826704,19.0710204593586,0,8001
k_r4.2_k_theta13.0Seed54654651,54654651,4.2,13.0,8.4,9.347227348547497,9.192477128968903,18.694454697094994,18.384954257937807,1,8001
k_r4.2_k_theta13.0Seed54654653,54654653,4.2,13.0,8.4,9.17335522205345,8.93918543788679,18.3467104441069,17.87837087577358,1,8001
k_r4.2_k_theta13.0Seed54654659,54654659,4.2,13.0,8.4,9.758940227000833,9.613039744417266,19.517880454001666,19.226079488834532,1,8001
k_r4.2_k_theta13.0Seed54654661,54654661,4.2,13.0,8.4,9.59725917562825,9.497747600254051,19.1945183512565,18.995495200508103,1,8001
